FOLDER,ELEMENT,ATTRIBUTE,,,,,
CDG66 A & C,default,AttributeType,None,,,,
CDG66 A & C,default,actset,None,,,,
CDG66 A & C,default,application,None,,,,
CDG66 A & C,default,appr_modby,None,,,,
CDG66 A & C,default,appr_modif,None,,,,
CDG66 A & C,default,appr_status,None,,,,
CDG66 A & C,default,cDisplayName,None,,,,
CDG66 A & C,default,cUserDefIndex,None,,,,
CDG66 A & C,default,c_category,None,,,,
CDG66 A & C,default,cbranch,None,,,,
CDG66 A & C,default,cbranchid,None,,,,
CDG66 A & C,default,cctprim,None,,,,
CDG66 A & C,default,cctsec,None,,,,
CDG66 A & C,default,ccub,None,,,,
CDG66 A & C,default,charact,None,,,,
CDG66 A & C,default,chr_name,None,,,,
CDG66 A & C,default,ciDist,None,,,,
CDG66 A & C,default,ciDistAll,None,,,,
CDG66 A & C,default,ciDistAllRoot,None,,,,
CDG66 A & C,default,ciDistRoot,None,,,,
CDG66 A & C,default,ciEarthed,None,,,,
CDG66 A & C,default,ciEnergized,None,,,,
CDG66 A & C,default,ciLater,None,,,,
CDG66 A & C,default,ciOutaged,None,,,,
CDG66 A & C,default,cn_bus,None,,,,
CDG66 A & C,default,cn_rembus,None,,,,
CDG66 A & C,default,constr,None,,,,
CDG66 A & C,default,contents,None,,,,
CDG66 A & C,default,cpArea,None,,,,
CDG66 A & C,default,cpBranch,None,,,,
CDG66 A & C,default,cpCt,None,,,,
CDG66 A & C,default,cpFeed,None,,,,
CDG66 A & C,default,cpGrid,None,,,,
CDG66 A & C,default,cpHeadFold,None,,,,
CDG66 A & C,default,cpMeteostat,None,,,,
CDG66 A & C,default,cpOperator,None,,,,
CDG66 A & C,default,cpOwner,None,,,,
CDG66 A & C,default,cpShc,None,,,,
CDG66 A & C,default,cpSite,None,,,,
CDG66 A & C,default,cpSubstat,None,,,,
CDG66 A & C,default,cpSupplySubstation,None,,,,
CDG66 A & C,default,cpSupplyTransformer,None,,,,
CDG66 A & C,default,cpSupplyTrfStation,None,,,,
CDG66 A & C,default,cpVt,None,,,,
CDG66 A & C,default,cpZone,None,,,,
CDG66 A & C,default,ctprim,None,,,,
CDG66 A & C,default,ctsec,None,,,,
CDG66 A & C,default,cvtprim,None,,,,
CDG66 A & C,default,cvtsec,None,,,,
CDG66 A & C,default,dat_src,None,,,,
CDG66 A & C,default,dataExtUnit,None,,,,
CDG66 A & C,default,desc,None,,,,
CDG66 A & C,default,dev_no,None,,,,
CDG66 A & C,default,doc_id,None,,,,
CDG66 A & C,default,efaultmaxi,None,,,,
CDG66 A & C,default,efaultmini,None,,,,
CDG66 A & C,default,fold_id,None,,,,
CDG66 A & C,default,for_name,None,,,,
CDG66 A & C,default,gnrl_modby,None,,,,
CDG66 A & C,default,gnrl_modif,None,,,,
CDG66 A & C,default,iComDate,None,,,,
CDG66 A & C,default,iSchemeStatus,None,,,,
CDG66 A & C,default,isSubRelay,None,,,,
CDG66 A & C,default,loc_name,None,,,,
CDG66 A & C,default,outserv,None,,,,
CDG66 A & C,default,pOperator,None,,,,
CDG66 A & C,default,pOwner,None,,,,
CDG66 A & C,default,pReference,None,,,,
CDG66 A & C,default,pdiselm,None,,,,
CDG66 A & C,default,pelm,None,,,,
CDG66 A & C,default,phfaultmaxi,None,,,,
CDG66 A & C,default,phfaultmini,None,,,,
CDG66 A & C,default,root_id,None,,,,
CDG66 A & C,default,sernum,None,,,,
CDG66 A & C,default,sw_settingsGroups,None,,,,
CDG66 A & C,default,td_bR,None,,,,
CDG66 A & C,default,td_bRC,None,,,,
CDG66 A & C,default,td_bX,None,,,,
CDG66 A & C,default,td_bXC,None,,,,
CDG66 A & C,default,td_bZ,None,,,,
CDG66 A & C,default,td_bZC,None,,,,
CDG66 A & C,default,td_blim,None,,,,
CDG66 A & C,default,td_bobj,None,,,,
CDG66 A & C,default,td_bphi,None,,,,
CDG66 A & C,default,td_bphiC,None,,,,
CDG66 A & C,default,td_bpos,None,,,,
CDG66 A & C,default,td_btpbk,None,,,,
CDG66 A & C,default,td_btrip,None,,,,
CDG66 A & C,default,td_cnt,None,,,,
CDG66 A & C,default,td_fR,None,,,,
CDG66 A & C,default,td_fRC,None,,,,
CDG66 A & C,default,td_fX,None,,,,
CDG66 A & C,default,td_fXC,None,,,,
CDG66 A & C,default,td_fZ,None,,,,
CDG66 A & C,default,td_fZC,None,,,,
CDG66 A & C,default,td_flim,None,,,,
CDG66 A & C,default,td_fobj,None,,,,
CDG66 A & C,default,td_fphi,None,,,,
CDG66 A & C,default,td_fphiC,None,,,,
CDG66 A & C,default,td_fpos,None,,,,
CDG66 A & C,default,td_ftpbk,None,,,,
CDG66 A & C,default,td_ftrip,None,,,,
CDG66 A & C,default,typ_id,None,,,,
CDG66 A & C,default,vtprim,None,,,,
CDG66 A & C,default,vtsec,None,,,,
CDG66 A & C,default,zratio,None,,,,
default,Ioc A,AttributeType,None,,,,
default,Ioc A,Ipset,None,,,,
default,Ioc A,Ipsetr,Setting/,Ia>>,use_setting,None,
default,Ioc A,Trelblock,None,,,,
default,Ioc A,Tset,None,,,,
default,Ioc A,cDisplayName,None,,,,
default,Ioc A,cTset,None,,,,
default,Ioc A,cUserDefIndex,None,,,,
default,Ioc A,c_sfansi,None,,,,
default,Ioc A,c_sfiec,None,,,,
default,Ioc A,c_type,None,,,,
default,Ioc A,calcuse,None,,,,
default,Ioc A,charact,None,,,,
default,Ioc A,chr_name,None,,,,
default,Ioc A,ciDist,None,,,,
default,Ioc A,ciDistAll,None,,,,
default,Ioc A,ciDistAllRoot,None,,,,
default,Ioc A,ciDistRoot,None,,,,
default,Ioc A,ciEarthed,None,,,,
default,Ioc A,ciEnergized,None,,,,
default,Ioc A,ciLater,None,,,,
default,Ioc A,ciOutaged,None,,,,
default,Ioc A,cpArea,None,,,,
default,Ioc A,cpBranch,None,,,,
default,Ioc A,cpFeed,None,,,,
default,Ioc A,cpGrid,None,,,,
default,Ioc A,cpHeadFold,None,,,,
default,Ioc A,cpMeteostat,None,,,,
default,Ioc A,cpOperator,None,,,,
default,Ioc A,cpOwner,None,,,,
default,Ioc A,cpSite,None,,,,
default,Ioc A,cpSubstat,None,,,,
default,Ioc A,cpSupplySubstation,None,,,,
default,Ioc A,cpSupplyTransformer,None,,,,
default,Ioc A,cpSupplyTrfStation,None,,,,
default,Ioc A,cpZone,None,,,,
default,Ioc A,cptotime,None,,,,
default,Ioc A,dat_src,None,,,,
default,Ioc A,dataExtUnit,None,,,,
default,Ioc A,fold_id,None,,,,
default,Ioc A,for_name,None,,,,
default,Ioc A,gnrl_modby,None,,,,
default,Ioc A,gnrl_modif,None,,,,
default,Ioc A,iSchemeStatus,None,,,,
default,Ioc A,iacceptblock,None,,,,
default,Ioc A,idir,None,,,,
default,Ioc A,loc_name,None,,,,
default,Ioc A,outserv,Setting/,Ia>>,use_setting,None,inf
default,Ioc A,root_id,None,,,,
default,Ioc A,typ_id,None,,,,
default,Ioc C,AttributeType,None,,,,
default,Ioc C,Ipset,None,,,,
default,Ioc C,Ipsetr,Setting/,Ic>>,use_setting,None,
default,Ioc C,Trelblock,None,,,,
default,Ioc C,Tset,None,,,,
default,Ioc C,cDisplayName,None,,,,
default,Ioc C,cTset,None,,,,
default,Ioc C,cUserDefIndex,None,,,,
default,Ioc C,c_sfansi,None,,,,
default,Ioc C,c_sfiec,None,,,,
default,Ioc C,c_type,None,,,,
default,Ioc C,calcuse,None,,,,
default,Ioc C,charact,None,,,,
default,Ioc C,chr_name,None,,,,
default,Ioc C,ciDist,None,,,,
default,Ioc C,ciDistAll,None,,,,
default,Ioc C,ciDistAllRoot,None,,,,
default,Ioc C,ciDistRoot,None,,,,
default,Ioc C,ciEarthed,None,,,,
default,Ioc C,ciEnergized,None,,,,
default,Ioc C,ciLater,None,,,,
default,Ioc C,ciOutaged,None,,,,
default,Ioc C,cpArea,None,,,,
default,Ioc C,cpBranch,None,,,,
default,Ioc C,cpFeed,None,,,,
default,Ioc C,cpGrid,None,,,,
default,Ioc C,cpHeadFold,None,,,,
default,Ioc C,cpMeteostat,None,,,,
default,Ioc C,cpOperator,None,,,,
default,Ioc C,cpOwner,None,,,,
default,Ioc C,cpSite,None,,,,
default,Ioc C,cpSubstat,None,,,,
default,Ioc C,cpSupplySubstation,None,,,,
default,Ioc C,cpSupplyTransformer,None,,,,
default,Ioc C,cpSupplyTrfStation,None,,,,
default,Ioc C,cpZone,None,,,,
default,Ioc C,cptotime,None,,,,
default,Ioc C,dat_src,None,,,,
default,Ioc C,dataExtUnit,None,,,,
default,Ioc C,fold_id,None,,,,
default,Ioc C,for_name,None,,,,
default,Ioc C,gnrl_modby,None,,,,
default,Ioc C,gnrl_modif,None,,,,
default,Ioc C,iSchemeStatus,None,,,,
default,Ioc C,iacceptblock,None,,,,
default,Ioc C,idir,None,,,,
default,Ioc C,loc_name,None,,,,
default,Ioc C,outserv,Setting/,Ic>>,use_setting,None,inf
default,Ioc C,root_id,None,,,,
default,Ioc C,typ_id,None,,,,
default,Ioc Earth,AttributeType,None,,,,
default,Ioc Earth,Ipset,None,,,,
default,Ioc Earth,Ipsetr,Setting/,IE>>,use_setting,None,
default,Ioc Earth,Trelblock,None,,,,
default,Ioc Earth,Tset,None,,,,
default,Ioc Earth,cDisplayName,None,,,,
default,Ioc Earth,cTset,None,,,,
default,Ioc Earth,cUserDefIndex,None,,,,
default,Ioc Earth,c_sfansi,None,,,,
default,Ioc Earth,c_sfiec,None,,,,
default,Ioc Earth,c_type,None,,,,
default,Ioc Earth,calcuse,None,,,,
default,Ioc Earth,charact,None,,,,
default,Ioc Earth,chr_name,None,,,,
default,Ioc Earth,ciDist,None,,,,
default,Ioc Earth,ciDistAll,None,,,,
default,Ioc Earth,ciDistAllRoot,None,,,,
default,Ioc Earth,ciDistRoot,None,,,,
default,Ioc Earth,ciEarthed,None,,,,
default,Ioc Earth,ciEnergized,None,,,,
default,Ioc Earth,ciLater,None,,,,
default,Ioc Earth,ciOutaged,None,,,,
default,Ioc Earth,cpArea,None,,,,
default,Ioc Earth,cpBranch,None,,,,
default,Ioc Earth,cpFeed,None,,,,
default,Ioc Earth,cpGrid,None,,,,
default,Ioc Earth,cpHeadFold,None,,,,
default,Ioc Earth,cpMeteostat,None,,,,
default,Ioc Earth,cpOperator,None,,,,
default,Ioc Earth,cpOwner,None,,,,
default,Ioc Earth,cpSite,None,,,,
default,Ioc Earth,cpSubstat,None,,,,
default,Ioc Earth,cpSupplySubstation,None,,,,
default,Ioc Earth,cpSupplyTransformer,None,,,,
default,Ioc Earth,cpSupplyTrfStation,None,,,,
default,Ioc Earth,cpZone,None,,,,
default,Ioc Earth,cptotime,None,,,,
default,Ioc Earth,dat_src,None,,,,
default,Ioc Earth,dataExtUnit,None,,,,
default,Ioc Earth,fold_id,None,,,,
default,Ioc Earth,for_name,None,,,,
default,Ioc Earth,gnrl_modby,None,,,,
default,Ioc Earth,gnrl_modif,None,,,,
default,Ioc Earth,iSchemeStatus,None,,,,
default,Ioc Earth,iacceptblock,None,,,,
default,Ioc Earth,idir,None,,,,
default,Ioc Earth,loc_name,None,,,,
default,Ioc Earth,outserv,Setting/,IE>>,use_setting,None,inf
default,Ioc Earth,root_id,None,,,,
default,Ioc Earth,typ_id,None,,,,
default,Logic,AttributeType,None,,,,
default,Logic,cDisplayName,None,,,,
default,Logic,cUserDefIndex,None,,,,
default,Logic,charact,None,,,,
default,Logic,chr_name,None,,,,
default,Logic,ciDist,None,,,,
default,Logic,ciDistAll,None,,,,
default,Logic,ciDistAllRoot,None,,,,
default,Logic,ciDistRoot,None,,,,
default,Logic,ciEarthed,None,,,,
default,Logic,ciEnergized,None,,,,
default,Logic,ciLater,None,,,,
default,Logic,ciOutaged,None,,,,
default,Logic,cpArea,None,,,,
default,Logic,cpBranch,None,,,,
default,Logic,cpFeed,None,,,,
default,Logic,cpGrid,None,,,,
default,Logic,cpHeadFold,None,,,,
default,Logic,cpMeteostat,None,,,,
default,Logic,cpOperator,None,,,,
default,Logic,cpOwner,None,,,,
default,Logic,cpSite,None,,,,
default,Logic,cpSubstat,None,,,,
default,Logic,cpSupplySubstation,None,,,,
default,Logic,cpSupplyTransformer,None,,,,
default,Logic,cpSupplyTrfStation,None,,,,
default,Logic,cpZone,None,,,,
default,Logic,dat_src,None,,,,
default,Logic,dataExtUnit,None,,,,
default,Logic,fold_id,None,,,,
default,Logic,for_name,None,,,,
default,Logic,gnrl_modby,None,,,,
default,Logic,gnrl_modif,None,,,,
default,Logic,iSchemeStatus,None,,,,
default,Logic,iout,None,,,,
default,Logic,loc_name,None,,,,
default,Logic,outserv,ON,,,,
default,Logic,pSwitch,None,,,,
default,Logic,root_id,None,,,,
default,Logic,typ_id,None,,,,
default,Measurement,AttributeType,None,,,,
default,Measurement,Inom,None,,,,
default,Measurement,Is,None,,,,
default,Measurement,Unom,None,,,,
default,Measurement,cDisplayName,None,,,,
default,Measurement,cUserDefIndex,None,,,,
default,Measurement,charact,None,,,,
default,Measurement,chr_name,None,,,,
default,Measurement,ciDist,None,,,,
default,Measurement,ciDistAll,None,,,,
default,Measurement,ciDistAllRoot,None,,,,
default,Measurement,ciDistRoot,None,,,,
default,Measurement,ciEarthed,None,,,,
default,Measurement,ciEnergized,None,,,,
default,Measurement,ciLater,None,,,,
default,Measurement,ciOutaged,None,,,,
default,Measurement,cpArea,None,,,,
default,Measurement,cpBranch,None,,,,
default,Measurement,cpFeed,None,,,,
default,Measurement,cpGrid,None,,,,
default,Measurement,cpHeadFold,None,,,,
default,Measurement,cpMeteostat,None,,,,
default,Measurement,cpOperator,None,,,,
default,Measurement,cpOwner,None,,,,
default,Measurement,cpSite,None,,,,
default,Measurement,cpSubstat,None,,,,
default,Measurement,cpSupplySubstation,None,,,,
default,Measurement,cpSupplyTransformer,None,,,,
default,Measurement,cpSupplyTrfStation,None,,,,
default,Measurement,cpZone,None,,,,
default,Measurement,dat_src,None,,,,
default,Measurement,dataExtUnit,None,,,,
default,Measurement,fold_id,None,,,,
default,Measurement,for_name,None,,,,
default,Measurement,gnrl_modby,None,,,,
default,Measurement,gnrl_modif,None,,,,
default,Measurement,iSchemeStatus,None,,,,
default,Measurement,iphase,None,,,,
default,Measurement,loc_name,None,,,,
default,Measurement,outserv,ON,,,,
default,Measurement,root_id,None,,,,
default,Measurement,typ_id,None,,,,
default,Toc A,AttributeType,None,,,,
default,Toc A,Ipset,None,,,,
default,Toc A,Ipsetr,Setting/,Ia>,use_setting,None,
default,Toc A,ModFrame,None,,,,
default,Toc A,ResetT,None,,,,
default,Toc A,Tadder,None,,,,
default,Toc A,Tpset,Setting/,Ta>,use_setting,None,
default,Toc A,Trelblock,None,,,,
default,Toc A,Tshift,None,,,,
default,Toc A,cDisplayName,None,,,,
default,Toc A,cResetT,None,,,,
default,Toc A,cTadder,None,,,,
default,Toc A,cUserDefIndex,None,,,,
default,Toc A,c_sfansi,None,,,,
default,Toc A,c_sfiec,None,,,,
default,Toc A,c_type,None,,,,
default,Toc A,calcuse,None,,,,
default,Toc A,charact,None,,,,
default,Toc A,chr_name,None,,,,
default,Toc A,ciDist,None,,,,
default,Toc A,ciDistAll,None,,,,
default,Toc A,ciDistAllRoot,None,,,,
default,Toc A,ciDistRoot,None,,,,
default,Toc A,ciEarthed,None,,,,
default,Toc A,ciEnergized,None,,,,
default,Toc A,ciLater,None,,,,
default,Toc A,ciOutaged,None,,,,
default,Toc A,cminresptime,None,,,,
default,Toc A,cpArea,None,,,,
default,Toc A,cpBranch,None,,,,
default,Toc A,cpFeed,None,,,,
default,Toc A,cpGrid,None,,,,
default,Toc A,cpHeadFold,None,,,,
default,Toc A,cpMeteostat,None,,,,
default,Toc A,cpOperator,None,,,,
default,Toc A,cpOwner,None,,,,
default,Toc A,cpSite,None,,,,
default,Toc A,cpSubstat,None,,,,
default,Toc A,cpSupplySubstation,None,,,,
default,Toc A,cpSupplyTransformer,None,,,,
default,Toc A,cpSupplyTrfStation,None,,,,
default,Toc A,cpZone,None,,,,
default,Toc A,dat_src,None,,,,
default,Toc A,dataExtUnit,None,,,,
default,Toc A,fold_id,None,,,,
default,Toc A,for_name,None,,,,
default,Toc A,gnrl_modby,None,,,,
default,Toc A,gnrl_modif,None,,,,
default,Toc A,iSchemeStatus,None,,,,
default,Toc A,iacceptblock,None,,,,
default,Toc A,idir,None,,,,
default,Toc A,loc_name,None,,,,
default,Toc A,minresptime,None,,,,
default,Toc A,outserv,ON,,,,
default,Toc A,pcharac,None,,,,
default,Toc A,resetdis,None,,,,
default,Toc A,root_id,None,,,,
default,Toc A,typ_id,None,,,,
default,Toc A,udeftmax,None,,,,
default,Toc A,udeftmin,None,,,,
default,Toc C,AttributeType,None,,,,
default,Toc C,Ipset,None,,,,
default,Toc C,Ipsetr,Setting/,Ic>,use_setting,None,
default,Toc C,ModFrame,None,,,,
default,Toc C,ResetT,None,,,,
default,Toc C,Tadder,None,,,,
default,Toc C,Tpset,Setting/,Tc>,use_setting,None,
default,Toc C,Trelblock,None,,,,
default,Toc C,Tshift,None,,,,
default,Toc C,cDisplayName,None,,,,
default,Toc C,cResetT,None,,,,
default,Toc C,cTadder,None,,,,
default,Toc C,cUserDefIndex,None,,,,
default,Toc C,c_sfansi,None,,,,
default,Toc C,c_sfiec,None,,,,
default,Toc C,c_type,None,,,,
default,Toc C,calcuse,None,,,,
default,Toc C,charact,None,,,,
default,Toc C,chr_name,None,,,,
default,Toc C,ciDist,None,,,,
default,Toc C,ciDistAll,None,,,,
default,Toc C,ciDistAllRoot,None,,,,
default,Toc C,ciDistRoot,None,,,,
default,Toc C,ciEarthed,None,,,,
default,Toc C,ciEnergized,None,,,,
default,Toc C,ciLater,None,,,,
default,Toc C,ciOutaged,None,,,,
default,Toc C,cminresptime,None,,,,
default,Toc C,cpArea,None,,,,
default,Toc C,cpBranch,None,,,,
default,Toc C,cpFeed,None,,,,
default,Toc C,cpGrid,None,,,,
default,Toc C,cpHeadFold,None,,,,
default,Toc C,cpMeteostat,None,,,,
default,Toc C,cpOperator,None,,,,
default,Toc C,cpOwner,None,,,,
default,Toc C,cpSite,None,,,,
default,Toc C,cpSubstat,None,,,,
default,Toc C,cpSupplySubstation,None,,,,
default,Toc C,cpSupplyTransformer,None,,,,
default,Toc C,cpSupplyTrfStation,None,,,,
default,Toc C,cpZone,None,,,,
default,Toc C,dat_src,None,,,,
default,Toc C,dataExtUnit,None,,,,
default,Toc C,fold_id,None,,,,
default,Toc C,for_name,None,,,,
default,Toc C,gnrl_modby,None,,,,
default,Toc C,gnrl_modif,None,,,,
default,Toc C,iSchemeStatus,None,,,,
default,Toc C,iacceptblock,None,,,,
default,Toc C,idir,None,,,,
default,Toc C,loc_name,None,,,,
default,Toc C,minresptime,None,,,,
default,Toc C,outserv,ON,,,,
default,Toc C,pcharac,None,,,,
default,Toc C,resetdis,None,,,,
default,Toc C,root_id,None,,,,
default,Toc C,typ_id,None,,,,
default,Toc C,udeftmax,None,,,,
default,Toc C,udeftmin,None,,,,
default,Toc Earth,AttributeType,None,,,,
default,Toc Earth,Ipset,None,,,,
default,Toc Earth,Ipsetr,Setting/,IE>,use_setting,None,
default,Toc Earth,ModFrame,None,,,,
default,Toc Earth,ResetT,None,,,,
default,Toc Earth,Tadder,None,,,,
default,Toc Earth,Tpset,Setting/,TE>,use_setting,None,
default,Toc Earth,Trelblock,None,,,,
default,Toc Earth,Tshift,None,,,,
default,Toc Earth,cDisplayName,None,,,,
default,Toc Earth,cResetT,None,,,,
default,Toc Earth,cTadder,None,,,,
default,Toc Earth,cUserDefIndex,None,,,,
default,Toc Earth,c_sfansi,None,,,,
default,Toc Earth,c_sfiec,None,,,,
default,Toc Earth,c_type,None,,,,
default,Toc Earth,calcuse,None,,,,
default,Toc Earth,charact,None,,,,
default,Toc Earth,chr_name,None,,,,
default,Toc Earth,ciDist,None,,,,
default,Toc Earth,ciDistAll,None,,,,
default,Toc Earth,ciDistAllRoot,None,,,,
default,Toc Earth,ciDistRoot,None,,,,
default,Toc Earth,ciEarthed,None,,,,
default,Toc Earth,ciEnergized,None,,,,
default,Toc Earth,ciLater,None,,,,
default,Toc Earth,ciOutaged,None,,,,
default,Toc Earth,cminresptime,None,,,,
default,Toc Earth,cpArea,None,,,,
default,Toc Earth,cpBranch,None,,,,
default,Toc Earth,cpFeed,None,,,,
default,Toc Earth,cpGrid,None,,,,
default,Toc Earth,cpHeadFold,None,,,,
default,Toc Earth,cpMeteostat,None,,,,
default,Toc Earth,cpOperator,None,,,,
default,Toc Earth,cpOwner,None,,,,
default,Toc Earth,cpSite,None,,,,
default,Toc Earth,cpSubstat,None,,,,
default,Toc Earth,cpSupplySubstation,None,,,,
default,Toc Earth,cpSupplyTransformer,None,,,,
default,Toc Earth,cpSupplyTrfStation,None,,,,
default,Toc Earth,cpZone,None,,,,
default,Toc Earth,dat_src,None,,,,
default,Toc Earth,dataExtUnit,None,,,,
default,Toc Earth,fold_id,None,,,,
default,Toc Earth,for_name,None,,,,
default,Toc Earth,gnrl_modby,None,,,,
default,Toc Earth,gnrl_modif,None,,,,
default,Toc Earth,iSchemeStatus,None,,,,
default,Toc Earth,iacceptblock,None,,,,
default,Toc Earth,idir,None,,,,
default,Toc Earth,loc_name,None,,,,
default,Toc Earth,minresptime,None,,,,
default,Toc Earth,outserv,ON,,,,
default,Toc Earth,pcharac,None,,,,
default,Toc Earth,resetdis,None,,,,
default,Toc Earth,root_id,None,,,,
default,Toc Earth,typ_id,None,,,,
default,Toc Earth,udeftmax,None,,,,
default,Toc Earth,udeftmin,None,,,,
